AER Period,AER Close,OAK Period,OAK Close
7/22/2015,46.73,7/22/2015,54.75
7/21/2015,47.53,7/21/2015,55.03
7/20/2015,47.35,7/20/2015,54.63
7/17/2015,47.15,7/17/2015,54.88
7/16/2015,47.05,7/16/2015,54.87
7/15/2015,46.4,7/15/2015,55.32
7/14/2015,46.95,7/14/2015,54.9
7/13/2015,46.89,7/13/2015,52.35
7/10/2015,45.79,7/10/2015,52.31
7/9/2015,44.89,7/9/2015,52.01
7/8/2015,44.35,7/8/2015,52.04
7/7/2015,45.11,7/7/2015,52.48
7/6/2015,45.05,7/6/2015,53.15
7/2/2015,45.64,7/2/2015,53.24
7/1/2015,45.79,7/1/2015,53.38
6/30/2015,45.79,6/30/2015,53.18
6/29/2015,45.99,6/29/2015,53
6/26/2015,46.89,6/26/2015,53.02
6/25/2015,47.23,6/25/2015,52.95
6/24/2015,47.7,6/24/2015,53.09
6/23/2015,47.98,6/23/2015,53.17
6/22/2015,46.82,6/22/2015,53.13
6/19/2015,46.42,6/19/2015,53.25
6/18/2015,47.08,6/18/2015,53.06
6/17/2015,46.86,6/17/2015,53.07
6/16/2015,46.61,6/16/2015,53.76
6/15/2015,46.56,6/15/2015,53.88
6/12/2015,47.3,6/12/2015,53.87
6/11/2015,47.69,6/11/2015,54.3
6/10/2015,48.35,6/10/2015,54.03
6/9/2015,48.1,6/9/2015,53.87
6/8/2015,47.95,6/8/2015,54.85
6/5/2015,48.53,6/5/2015,55.12
6/4/2015,48.5,6/4/2015,54.6
6/3/2015,50.34,6/3/2015,54.62
6/2/2015,49.93,6/2/2015,54.69
6/1/2015,48.24,6/1/2015,54.6
5/29/2015,48.24,5/29/2015,54.77
5/28/2015,48.88,5/28/2015,54.26
5/27/2015,48.62,5/27/2015,53.7
5/26/2015,47.8,5/26/2015,53.28
5/22/2015,48.07,5/22/2015,53.53
5/21/2015,48.21,5/21/2015,53.62
5/20/2015,47.96,5/20/2015,53.3
5/19/2015,48.22,5/19/2015,52.49
5/18/2015,48.8,5/18/2015,52.49
5/15/2015,48.96,5/15/2015,52.71
5/14/2015,48.99,5/14/2015,52.47
5/13/2015,49,5/13/2015,52.07
5/12/2015,48.48,5/12/2015,52
5/11/2015,48.18,5/11/2015,52.22
5/8/2015,49.07,5/8/2015,52.01
5/7/2015,48.35,5/7/2015,51.72
5/6/2015,48.21,5/6/2015,53.23
5/5/2015,48.49,5/5/2015,53.61
5/4/2015,49.18,5/4/2015,54.6
5/1/2015,49.04,5/1/2015,53.31
4/30/2015,46.68,4/30/2015,53.48
4/29/2015,46.75,4/29/2015,53.63
4/28/2015,46.91,4/28/2015,53.96
4/27/2015,46.8,4/27/2015,53
4/24/2015,46.86,4/24/2015,52.29
4/23/2015,46.61,4/23/2015,52.23
4/22/2015,46.44,4/22/2015,52.36
4/21/2015,46.25,4/21/2015,52.17
4/20/2015,46.54,4/20/2015,52.39
4/17/2015,45.96,4/17/2015,52.52
4/16/2015,46.08,4/16/2015,53.32
4/15/2015,46.16,4/15/2015,52.15
4/14/2015,46.4,4/14/2015,51.25
4/13/2015,46.47,4/13/2015,51.24
4/10/2015,46.75,4/10/2015,51.58
4/9/2015,45.86,4/9/2015,51.38
4/8/2015,45.43,4/8/2015,51.47
4/7/2015,45.05,4/7/2015,51.32
4/6/2015,44.53,4/6/2015,51.46
4/2/2015,44.76,4/2/2015,52.03
4/1/2015,44.49,4/1/2015,52.5
3/31/2015,43.65,3/31/2015,51.66
3/30/2015,44.59,3/30/2015,51.98
3/27/2015,43.97,3/27/2015,51.68
3/26/2015,43.82,3/26/2015,51.85
3/25/2015,43.86,3/25/2015,52.53
3/24/2015,44.24,3/24/2015,52.31
3/23/2015,44.41,3/23/2015,52.48
3/20/2015,44.61,3/20/2015,52.12
3/19/2015,43.97,3/19/2015,51.68
3/18/2015,44.49,3/18/2015,51.36
3/17/2015,43.45,3/17/2015,51.46
3/16/2015,43.78,3/16/2015,52.4
3/13/2015,43.61,3/13/2015,52.77
3/12/2015,43.46,3/12/2015,52.79
3/11/2015,43.18,3/11/2015,52.8
3/10/2015,43.06,3/10/2015,52.83
3/9/2015,43.79,3/9/2015,53.23
3/6/2015,43.96,3/6/2015,53.23
3/5/2015,44.99,3/5/2015,52.48
3/4/2015,44.78,3/4/2015,51.9
3/3/2015,44.44,3/3/2015,52.1
3/2/2015,43.85,3/2/2015,53.82
2/27/2015,44.5,2/27/2015,53.8
2/26/2015,44.95,2/26/2015,54.24
2/25/2015,44.2,2/25/2015,53.76
2/24/2015,45.16,2/24/2015,54.06
2/23/2015,45.94,2/23/2015,53.89
2/20/2015,44.34,2/20/2015,54.97
2/19/2015,43.72,2/19/2015,54.98
2/18/2015,43.74,2/18/2015,55.66
2/17/2015,43.27,2/17/2015,55.75
2/13/2015,43.02,2/13/2015,57.07
2/12/2015,42.43,2/12/2015,55.68
2/11/2015,42.37,2/11/2015,54.96
2/10/2015,42.04,2/10/2015,55.08
2/9/2015,42.04,2/9/2015,54.13
2/6/2015,42.02,2/6/2015,54.46
2/5/2015,42,2/5/2015,55
2/4/2015,41.69,2/4/2015,54.67
2/3/2015,41.69,2/3/2015,55.06
2/2/2015,40.77,2/2/2015,54.88
1/30/2015,39.53,1/30/2015,55.4
1/29/2015,40.44,1/29/2015,55.8
1/28/2015,39.84,1/28/2015,54.35
1/27/2015,40.36,1/27/2015,54.72
1/26/2015,40.69,1/26/2015,54.94
1/23/2015,40.41,1/23/2015,54.62
1/22/2015,40.4,1/22/2015,55.03
1/21/2015,39.81,1/21/2015,54.84
1/20/2015,39.24,1/20/2015,54.66
1/16/2015,38.06,1/16/2015,54.62
1/15/2015,37.84,1/15/2015,54.19
1/14/2015,38.12,1/14/2015,53.97
1/13/2015,38.59,1/13/2015,52.99
1/12/2015,38.99,1/12/2015,52.95
1/9/2015,39.15,1/9/2015,52.51
1/8/2015,39.55,1/8/2015,53.36
1/7/2015,38.6,1/7/2015,54.17
1/6/2015,38.24,1/6/2015,52.9
1/5/2015,38.27,1/5/2015,54.37
1/2/2015,38.52,1/2/2015,54.31
